word,meaning,phonetic,example,example_cn
little,一点儿（不可数）,/ˈlɪtl/,The little puppy was playing in the garden.,那只小狗正在花园里玩耍。
live,居住；住,/liv/,She lives in a small town near the coast.,她住在海边的一个小镇上。
lives,:叶子的复数（life）,/laivz/,A cat is said to have nine lives.,据说猫有九条命。
living,room 客厅；起居室,,He earns a living by working as a teacher.,他靠当老师谋生。
living room,客厅；起居室起客厅,/'liviŋ ru:m/,The whole family gathered in the living room.,全家人聚在客厅里。
lobster,龙虾,/'lɔbstə/,We ate fresh lobster at the seaside restaurant.,我们在海边餐厅吃了新鲜的龙虾。
lock,锁 .,/lɔk/,Do not forget to lock the door when you leave.,离开时别忘了锁门。
London,伦敦,/'lʌndən/,London is a big city in England.,伦敦是英格兰的一个大城市。
long,长的,/lɒŋ/,I long for the day when we can travel again.,我渴望有一天能再次旅行。
long hair,长头发,/lɔŋ hεə/,My younger sister has very long hair.,我妹妹有很长的头发。
longer,更长的,,"In summer, the days are much longer.",夏天白天长得多。
long—longer,更长的,/lɒŋ/,This rope is longer than that one.,这条绳子比那条更长。
look,看上去,/luk/,Look at the beautiful sunset over the ocean.,看海洋上空美丽的日落。
look .out,当心;留神,/lu: aut/,Look out before crossing the street.,过马路之前要当心。
look at,看；瞧,/luk æt/,Look at the beautiful rainbow in the sky.,看天空中那道美丽的彩虹。
look for,寻找,/lukfɔ:/,I am looking for my glasses everywhere.,我正在到处寻找我的眼镜。
look up,查阅,,You can look up new words in a dictionary.,你可以在词典里查阅生词。
lost,丢失,/lɒst/,I lost my key somewhere in the park.,我把钥匙丢失在公园某个地方了。
lot,大量；许多,/lɒt/,There are a lot of books on the shelf.,书架上有很多书。
lots,of 大量；许多,,She has lots of friends at school.,她在学校有许多朋友。
lots of,大量；许多,/lɒts/,There are lots of stars in the night sky.,夜空中有许多星星。
loud,喧闹的，大声的,,"The music was too loud, so I asked them to turn it down.",音乐太吵了，所以我让他们把音量调低。
love,爱;热爱,/lʌv/,I love spending time with my family.,我喜欢和家人在一起。
lovely,可爱的；美丽的,/'lʌvli/,What a lovely day for a walk in the park!,多么美好的一天，适合在公园散步！
lower,low的比较级；更低的,,Please lower your voice when you are in the library.,在图书馆里请降低你的音量。
low—lower,更低的,/ləʊ/,The temperature today is lower than yesterday.,今天的气温比昨天更低。
lunch,午餐,/lʌntʃ/,I usually have lunch at twelve o'clock.,我通常在十二点吃午饭。
magazine,报纸 阅读杂志,/,mægə'zi:n/,,
make,a snowman 堆雪人,,My mother can make a beautiful cake.,我妈妈会做漂亮的蛋糕。
make a Snowman,堆雪人,/meik'snəʊmæn/,The children make a snowman in winter.,孩子们在冬天堆雪人。
make kites,制作风筝,/meikkait/,They made kites out of paper and bamboo.,他们用纸和竹子制作风筝。
make sure,核实或查明某事物,/meiksə:/,Make sure you turn off the gas before leaving.,离开前核实一下煤气关掉了没有。
make the bed,铺床，整理床铺,/meik ði: bed/,I always make the bed after I get up.,我起床后总是铺床。
making kites,制作风筝,/'meikiŋ/,The students are making kites in art class.,学生们正在美术课上制作风筝。
man,男人,/mæn/,The old man walked slowly across the street.,那位老人慢慢走过街道。
many,许多的,/'meni/,Many people came to the concert last night.,昨晚很多人来听了音乐会。
map,地图,/mæp/,We used a map to find our way through the forest.,我们用地图找路穿过森林。
March,三月,/mɑ:tʃ/,Spring begins in March.,春天从三月开始。
match,比赛,/mætʃ/,We watched a football match on TV last night.,我们昨晚在电视上看了一场足球比赛。
math,数学,/mæθ/,I like studying math because it is interesting.,我喜欢学数学，因为它很有趣。
math book,数学书,/mæθ/,Please take out your math book and turn to page ten.,请拿出你的数学书，翻到第十页。
maths,test 数学测试,,I have a maths exam next Monday.,我下周一有数学考试。
maths book,数学书,/mæθs/,My maths book is in my schoolbag.,我的数学书在书包里。
matter,事情；麻烦,/'mætə/,What is the matter with you today?,你今天怎么了？
may,可以；可能,/mei/,May I borrow your pen for a moment?,我可以借用一下你的笔吗？
mean,意思是,/mi:n/,What does this word mean in English?,这个单词在英语里是什么意思？
medicine,药,/'medisin/,Take this medicine three times a day after meals.,这种药饭后服用，每天三次。
meet,见面；遇见,/mi:t/,"Nice to meet you, my name is Tom.",很高兴认识你，我叫汤姆。
member,成员,/'membə/,She is a member of the swimming club.,她是游泳俱乐部的一名成员。
menu,菜单,/'menju:/,Let me look at the menu to decide what to eat.,让我看看菜单来决定吃什么。
meter,米,/'mi:tə/,The taxi driver checked the meter to calculate the fare.,出租车司机查看计价器来计算车费。
metre,米,,The swimming pool is twenty-five metres long.,这个游泳池有二十五米长。
mice,（mouse的复数）,,There were three mice in the kitchen.,厨房里有三只老鼠。
Mid-autumn,中秋节,/ˌmɪd ˈɔːtəm/,The moon is full at Mid-Autumn Festival.,中秋节时月亮是圆的。
Mid-Autumn Festival,中秋节,/mɪd ˈɔːtəm ˈfestəvəl/,We eat mooncakes during Mid-Autumn Festival.,我们在中秋节期间吃月饼。
might,可以；能,/mait/,"It might rain later, so take an umbrella.",稍后可能会下雨，所以带上伞吧。
milk,牛奶,/mɪlk/,I drink a glass of milk every morning.,我每天早上喝一杯牛奶。
mine,我的,/maɪn/,"This book is mine, not yours.",这本书是我的，不是你的。
minute,分钟,/'minit/,Please wait for a minute while I check the information.,请等一分钟，我查一下信息。
mirror,镜子,/'mirə/,She looked at herself in the mirror before leaving.,她离开前照了一下镜子。
Miss,小姐.,/mis/,"Excuse me, Miss, is this your bag?",打扰一下，小姐，这是你的包吗？
mom,妈妈,/mɔm/,My mom makes delicious pancakes.,我妈妈会做好吃的煎饼。
Monday,星期一,/'mʌndeɪ/,Monday is the first day of the school week.,星期一是学校每周的第一天。
money,钱；金钱,/'mʌni/,She saved enough money to buy a new car.,她攒了足够的钱来买一辆新车。
monkey,猴子,/'mʌŋki/,The monkey climbed up the tree and ate a banana.,猴子爬上树，吃了一根香蕉。
month,月份；月,/mʌnθ/,I will visit my grandparents next month during the holiday.,下个月放假时我会去看望我的祖父母。
moon,月亮,/muːn/,The full moon shone brightly in the clear night sky.,满月在晴朗的夜空中明亮地照耀着。
mooncake,月饼,/muːnkeɪk/,We shared a mooncake during the festival.,我们在节日里分吃了一个月饼。
Moral Education,思想品德课,/'mɔrəl 'edju:'keiʃən/,We learn about good values in Moral Education class.,我们在思想品德课上学习良好的价值观。
more,更多的,/mɔː/,I need more time to finish this assignment.,我需要更多的时间来完成这项作业。
morning,早晨；上午,/'mɔ:niŋ/,I always go for a run in the morning before breakfast.,我总是在早餐前的早晨去跑步。
Moscow,莫斯科,/'mɒskəʊ/,Moscow is the capital of Russia.,莫斯科是俄罗斯的首都。
mother,母亲；妈妈,/'mʌðə/,My mother cooks dinner for the family every evening.,我妈妈每天晚上为全家人做晚饭。
motor cycle,摩托车,/'məutə'saikl/,He goes to work on his motor cycle.,他骑摩托车上班。
mountain,高山；山岳,/'maʊntɪn/,They climbed to the top of the mountain and enjoyed the view.,他们爬到了山顶，欣赏了美景。
mouse,老鼠,/maʊs/,The cat caught a mouse in the kitchen last night.,猫昨晚在厨房里抓住了一只老鼠。
mouth,嘴,/maʊθ/,You should cover your mouth when you cough.,咳嗽时你应该捂住嘴巴。
move,搬家,/muːv/,Please move your chair closer to the table.,请把你的椅子挪近桌子。
Mr,先生.,/'mistə/,Mr. Smith is our English teacher.,史密斯先生是我们的英语老师。
Mrs,夫人,/ˈmɪsɪz/,Mrs. Jones lives next door.,琼斯夫人住在隔壁。
Ms,女士,/mɪz/,Ms. Wang will teach us today.,王女士今天教我们。
much,非常地,,There is too much sugar in this coffee.,这杯咖啡里放了太多糖了。
mud,泥,/mʌd/,The children played in the mud after the rain stopped.,雨停后，孩子们在泥巴里玩耍。
mule,骡子,,A mule can carry heavy loads.,骡子能驮重物。
mum,妈妈,/mʌm/,My mum packed lunch for me this morning.,我妈妈今早帮我准备了午餐。
Munich,慕尼黑（德国城市）,/ˈmjuːnɪk/,Munich is a beautiful city in Germany.,慕尼黑是德国一个美丽的城市。
museum,科学博物馆,/mju:'ziəm/,We visited the art museum to see the new exhibition.,我们参观了艺术博物馆去看新的展览。
music,音乐,/'mju:zik/,Listening to music helps me relax after a long day.,听音乐帮助我在漫长的一天后放松下来。
music class,音乐课,/klɑ:s/,We sing songs in music class.,我们在音乐课上唱歌。
music room,音乐教室,/'mju:zik/,The piano is in the music room.,钢琴在音乐教室里。
must,一定；肯定,/mʌst/,You must finish your homework before you can watch TV.,你必须先完成作业才能看电视。
mutton,羊肉,/'mʌtn/,The restaurant is famous for its delicious mutton soup.,这家餐馆以其美味的羊肉汤而闻名。
my,我的,/maɪ/,"This is my book, not yours.",这是我的书，不是你的。
name,名字,/neɪm/,Please write your name at the top of the paper.,请把你的名字写在纸的顶部。
national,国家的,,The national flag is raised every morning at the school.,学校每天早晨升起国旗。
National Day,国庆日,,We have a holiday on National Day.,国庆日我们放假。
nature,自然界；大自然,/'neɪtʃə/,We should protect nature for future generations.,我们应该为后代保护大自然。
nature park,自然公园,/'neitʃə pɑ:k/,We saw many birds at the nature park.,我们在自然公园看到了许多鸟。
near,近的；距离近,/nɪə/,The supermarket is near the train station.,超市在火车站附近。
need,需要,/ni:d/,You need to drink more water in hot weather.,天热时你需要多喝水。
neighbour,邻居,/'neibə/,Our neighbour helped us carry the heavy furniture upstairs.,我们的邻居帮我们把沉重的家具搬上了楼。
nest,鸟窝；巢,/nest/,The bird built its nest in the tree outside my window.,鸟在我窗外的树上筑了巢。
new,新的,/njuː/,She bought a new dress for the party.,她为聚会买了一条新裙子。
New York,纽约,/'njuːleɪd/,New York is a big city in the United States.,纽约是美国的一个大城市。
newspaper,报纸,/'nju:z,peipə/,,
next,下一个的；紧接着的；接下来的,/nekst/,Please turn to the next page of your textbook.,请翻到教科书的下一页。
next to,与……相邻,/'neksttu:/,The library is next to the school.,图书馆在学校旁边。
next week,下周,/nekst wiːk/,We will have a test next week.,我们下周有一场考试。
nice,好的；愉快的,/nais/,It's a nice day for a picnic in the park.,今天天气很好，适合去公园野餐。
night,夜晚,/nait/,The stars are brightest in the night sky far from the city.,远离城市的夜空中星星最明亮。
nine,九,/naɪn/,There are nine students in the small class.,这个小班里有九名学生。
nineteen,十九,/naɪn'tiːn/,She is nineteen years old and just started college.,她十九岁，刚上大学。
ninety-nine,九十九,/'nainti/,The old man is ninety-nine years old.,那位老人九十九岁了。
ninth,第九,/nainθ/,He finished in ninth place in the running competition.,他在跑步比赛中获得了第九名。
no,不；不是,/nəu/,I have no money left.,我没剩下一分钱了。
no problem,没问题,/nəʊ/,Thank you for your help. No problem!,谢谢你的帮助。没问题！
no. problem,没问题,/nəu 'prɔbləm/,Thanks for your help. No problem at all.,谢谢你的帮助。完全没问题。
noise,声音；响声；噪音,,The noise outside kept me awake.,外面的噪音让我睡不着。
noodle(s),面条（复数）,/'nu:dl/,I like to eat noodles for lunch.,我喜欢中午吃面条。
noodles,面条（复数）,/'nu:dl/,She cooked noodles for dinner.,她晚饭煮了面条。
noon,中午,/nu:n/,We will meet at noon.,我们中午见面。
north,北方；向北方.,/nɔ:θ/,The wind is blowing from the north.,风从北方吹来。
nose,鼻子,/nəʊz/,He has a very big nose.,他有一个非常大的鼻子。
not,不；不是的,/nɔt/,I am not tired.,我不累。
not much,没什么,/mʌtʃ/,What are you doing? Not much.,你在做什么？没什么。
notebook,笔记本,/'nəʊtbʊk/,She wrote the address in her notebook.,她把地址记在了笔记本上。
nothing,没有什么,,There is nothing in the box.,盒子里什么都没有。
November,十一月,/nəu'vembə/,November comes after October.,十一月在十月之后。
now,现在；目前,/naʊ/,We need to leave now.,我们现在需要离开了。
nurse,护士,/nɜːs/,The nurse took care of the sick patient.,护士照顾了那位生病的病人。
o,（表示整点）……点钟,,The movie starts at seven o'clock.,电影七点钟开始。
o'clock,…… 点钟,/əˈklɒk/,The meeting starts at two o'clock.,会议两点钟开始。
October,十月,/ɔk'təubə/,October is my favorite month.,十月是我最喜欢的月份。
of,当然,,This is a cup of tea.,这是一杯茶。
of course,当然,/ɒv kɔːs/,Of course you can borrow my pen.,你当然可以借我的钢笔。
off,距；离；离开.,/ɒ:f/,Please turn off the lights when you leave.,离开时请关灯。
often,时常；常常,/'ɔːfən/,I often go for a walk after dinner.,我经常晚饭后去散步。
OK,好；行,/əʊˈkeɪ/,"OK, I will help you.",好的，我会帮你。
old,老的；年纪大的,/əʊld/,My grandfather is very old.,我的祖父年纪很大了。
older,年龄更大的,,My older brother is in high school.,我哥哥在读高中。
old—older,年龄更大的,/əʊld/,"As I grow older, I learn more things.",随着年龄增长，我学到更多东西。
on,在…… 上面,/ɒn/,The book is on the table.,书在桌子上。
on foot,步行,/ɒn fut/,I go to school on foot every day.,我每天步行去上学。
one,一,/wʌn/,One plus one equals two.,一加一等于二。
onion,洋葱；葱头,/ˈʌnjən/,I always cry when I cut onions.,我切洋葱时总是哭。
only,只有；仅仅,/'əunli/,She is the only girl in the group.,她是组里唯一的女孩。
open,打开,/'əupən/,Please open the window to let in some fresh air.,请打开窗户透透气。
or,或者,/ɔː/,Would you like tea or coffee?,你想喝茶还是咖啡？
orange,橘色的；橙色的,/'ɔrindʒ/,I eat an orange every morning.,我每天早上吃一个橙子。
other,其他的;另外的;别的,/'ʌðə/,Do you have any other questions?,你还有其他问题吗？
our,我们的,/'aʊə/,This is our new house.,这是我们的新房子。
ours,我们的,,That car is ours.,那辆车是我们的。
outside,在户外,/'aʊt'saɪd/,"It is raining outside, so take an umbrella.",外面在下雨，所以带把伞吧。
over,在...的上方,/'əuvə/,The bird is flying over the house.,那只鸟正在房子上方飞翔。
over there,在那边,/'əuvə ðεə/,The bus stop is over there.,公共汽车站在那边。
own,a. 自己的,/əun/,She owns a small bookstore.,她拥有一家小书店。
P.E,体育,/ˌpiː ˈiː/,We have P.E. class on Tuesday.,我们星期二有体育课。
P.E. class,体育课,,The students run on the playground in P.E. class.,学生们在体育课上在操场上跑步。
p.m.,午后；下午,/ˌpiː ˈem/,The movie starts at seven p.m.,电影晚上七点开始。
pack,收拾 \(行李）,/pæk/,I need to pack my suitcase before the trip.,我需要在旅行前整理行李箱。
paint,绘画,/peint/,She likes to paint pictures of flowers.,她喜欢画花朵的画。
painting,绘画,/'peintiŋ/,That painting is worth a lot of money.,那幅油画值很多钱。
pair,一双；一对,/pεə/,I bought a new pair of shoes.,我买了一双新鞋。
pal,朋友，同志，伙伴,/pæl/,Tom is my best pal from primary school.,汤姆是我小学时最好的伙伴。
panda,大熊猫,/'pændə/,The panda is eating bamboo in the zoo.,熊猫在动物园里吃竹子。
pants,裤子,/pænts/,He wore blue pants to the party.,他穿着蓝色裤子去参加派对。
Papa Westray,帕帕韦斯特雷岛,/,pɑːpə ˈwestreɪ/,,
parents,父母，双亲,/ˈpeərənts/,My parents are both teachers.,我的父母都是老师。
park,公园,/pɑːk/,Let us go for a walk in the park.,我们去公园散步吧。
part,角色,,I spent part of the day reading.,我花了这一天的一部分时间读书。
party,聚会；派对,/'pɑːti/,We had a party for his birthday.,我们为他的生日举办了一个聚会。
pass,给；递,/pɑːs/,Please pass me the salt.,请把盐递给我。
path,路，小道,/pɑ:θ/,Follow the path through the forest.,沿着穿过森林的小路走。
pay,注意,,I need to pay the bill before we leave.,我们离开前我需要付账。
pay attention to,注意,/peɪ əˈtenʃən tuː/,Please pay attention to the teacher.,请注意听老师讲课。
PE,class 体育课,,PE class is my favorite subject.,体育课是我最喜欢的科目。
PE class,体育课,,I like PE class because I love sports.,我喜欢体育课因为我热爱运动。
peach,桃,/pi:tʃ/,This peach is very sweet.,这个桃子很甜。
pear,梨,/peə/,She ate a ripe pear for breakfast.,她早餐吃了一个熟透的梨。
pen,钢笔,/pen/,Please write with a blue pen.,请用蓝色钢笔写。
pen pal,笔友,/pen pæl/,I write letters to my pen pal in Canada.,我给我在加拿大的笔友写信。
pencil,铅笔,/'pensl/,She drew a picture with a pencil.,她用铅笔画了一幅画。
pencil box,铅笔盒,/ˈpensl/,My pencil box has many colors.,我的铅笔盒有很多颜色。
pencil-case,铅笔盒,/'pensəlkeis/,She bought a new pencil-case with cartoon characters on it.,她买了一个有卡通人物的新铅笔盒。
people,人，人民,/ˈpiːpl/,Many people came to the concert.,很多人来参加了音乐会。
pet shop,宠物商店,/petʃɔp/,We bought a goldfish at the pet shop.,我们在宠物商店买了一条金鱼。
phone,电话,/fəʊn/,I need to charge my phone.,我需要给手机充电。
photo,照片；相片,/'fəʊtəʊ/,I took a photo of the sunset.,我拍了一张日落的照片。
pick,摘；采集,,Please pick a number between one and ten.,请在一到十之间选一个数字。
pick apples,摘苹果,,We went to the farm to pick apples.,我们去农场摘苹果了。
pick up leaves,采摘树叶,/pikʌpli:vz/,The children are picking up leaves in the park.,孩子们正在公园里捡树叶。
picnic,野餐,,We had a picnic in the park on Sunday.,我们星期天在公园野餐了。
picture,图画,照片,景色,/'piktʃə/,,
pig,猪,/pɪg/,The pig is eating in the farm.,猪正在农场里吃东西。
pilot,飞行员,/ˈpaɪlət/,The pilot is flying the plane to Beijing.,飞行员正驾机飞往北京。
ping-pong,乒乓球,/ˈpɪŋpɒŋ/,I like to play ping-pong after school.,我喜欢放学后打乒乓球。
pink,粉红色的,/piŋk/,The little girl likes wearing pink dresses.,那个小女孩喜欢穿粉红色的裙子。
pizza,比萨饼,/ˈpiːtsə/,We ordered a pizza for dinner.,我们点了一个比萨饼当晚饭。
plane,飞机,/pleɪn/,The plane took off an hour late.,飞机晚点一小时起飞。
Plant,植物；种植,/plɑ:nt/,I water my plant every morning.,我每天早上给我的植物浇水。
plant trees,种树,/plɑ:nt tri:s/,We plant trees every spring.,我们每年春天都种树。
plate,盘子,/pleɪt/,Please put the plates on the table.,请把盘子放在桌子上。
play,（过去式played）玩,/plei/,The children are playing in the park.,孩子们正在公园里玩耍。
play basketball,打篮球,/pleɪ/,My brother likes to play basketball.,我哥哥喜欢打篮球。
play chess,下棋,/plei tʃes/,My grandfather taught me how to play chess.,我爷爷教我下棋。
play computer games,玩电脑游戏,/pleikəm'pju:tə geims/,He likes to play computer games on weekends.,他喜欢在周末玩电脑游戏。
play football,踢足球,/pleɪ/,The boys are playing football in the field.,男孩们在球场上踢足球。
play ping-pong,打乒乓球,/pleɪ/,Let us play ping-pong together.,我们一起打乒乓球吧。
play sports,进行体育运动,/plei spɔ:ts/,It is important to play sports every day.,每天进行体育运动很重要。
play the piano,弹钢琴,/pi'ænəu/,She can play the piano very well.,她钢琴弹得很好。
play the pipa,弹琵琶,/pleɪ/,She is learning to play the pipa in music class.,她正在音乐课上学习弹琵琶。
play the violin,拉小提琴,/plei,He is learning to play the violin.,他正在学拉小提琴。,
play with,玩，与…一起玩,/wið/,I like to play with my dog in the park.,我喜欢在公园里和我的狗一起玩。
playground,操场,/'pleɪgraʊnd/,The students are running on the playground.,学生们正在操场上跑步。
playing,（正在）玩耍,,The kids are playing in the sandbox.,孩子们正在沙坑里玩耍。
please,请,/pli:z/,Please close the door when you leave.,离开时请关上门。
poem,诗,/ˈpəʊɪm/,She wrote a beautiful poem about love.,她写了一首关于爱的优美诗歌。
police,警察,/pə'li:s/,The police arrived at the scene quickly.,警察迅速到达了现场。
police officer,警察,/pəˈliːs ˈɒfɪsə/,My father is a police officer.,我爸爸是一名警察。
policeman,（男）警察,/pə'li:smən/,The policeman helped the old woman cross the street.,警察帮助老妇人过马路。
policewoman,女警察；女警官,/pə'li:s,The policewoman helped the old lady find her way home.,女警察帮助老奶奶找到了回家的路。,
polite,有礼貌的；客气的,/pəˈlaɪt/,It is polite to say thank you.,"说""谢谢""是有礼貌的表现。"
pork,猪肉,/pɔ:k/,I ordered a pork dish for dinner.,我晚餐点了一道猪肉菜。
post,邮局,,Please post this letter for me.,请帮我把这封信寄出去。
Post card,明信片,/pəustkɑ:d/,I sent a post card from Beijing.,我从北京寄了一张明信片。
post office,邮局,/pəʊst ˈɒfɪs/,I went to the post office to mail a letter.,我去邮局寄了一封信。
postcard,明信片,/ˈpəʊstkɑːd/,She sent me a postcard from Beijing.,她从北京给我寄了一张明信片。
postman,邮递员,/ˈpəʊstmən/,The postman delivers letters every morning.,邮递员每天早上送信。
pot,锅；碗；瓢；盆,/pɔt/,She boiled water in a pot.,她用壶烧水。
potato,马铃薯,土豆,/pə'teitəu/,,
PRC,中国,/ˌpiː ɑːr ˈsiː/,PRC stands for People's Republic of China.,PRC 代表中华人民共和国。
prepare,准备,/pri'peə/,You need to prepare for the interview.,你需要为面试做准备。
present,礼物,/pri'zent/,She gave me a nice birthday present.,她给了我一份很好的生日礼物。
pretty,美观的；精致的,/'prɪti/,She looks pretty in that dress.,她穿那条裙子很好看。
price,价格,/praɪs/,The price of gas has gone up.,汽油价格上涨了。
principal,校长,/'prinsəpəl/,The principal gave a speech at the morning assembly.,校长在晨会上发表了讲话。
problem,问题,/'prɒbləm/,Can you help me solve this math problem?,你能帮我解这道数学题吗？
pull,拉；拽,/pʊl/,The boy had to pull the heavy cart up the hill.,男孩不得不把沉重的车拉上山。
pupil,小学生,/'pjuːpl/,The pupils are listening to the teacher carefully.,小学生们在认真听老师讲课。
puppy,小狗,/'pʌpi/,The little puppy is playing with a ball.,那只小狗正在玩球。
purple,紫色的,/'pə:pl/,She picked a purple flower from the garden.,她从花园里摘了一朵紫色的花。
put,放；放置,/put/,Please put your books on the desk.,请把你的书放在书桌上。
put away the clothes,收拾衣服.,/pʌtə'weikləuðz/,Mom asked me to put away the clothes before dinner.,妈妈让我在晚饭前把衣服收拾好。
put on,穿上. put on 动词,表示穿上衣服的动词,"It is cold outside, so put on your coat.",外面很冷，所以穿上你的外套。,,
puzzle,谜,/ˈpʌzl/,This puzzle has one thousand pieces.,这个拼图有一千片。
queen,女王；王后,/kwi:n/,The queen wore a golden crown.,女王戴着一顶金色的王冠。
quickly,迅速地,/ˈkwɪkli/,He quickly finished his homework and went out to play.,他迅速完成了作业，然后出去玩。
quiet,安静的,/'kwaɪət/,Please be quiet in the library.,在图书馆里请保持安静。
rabbit,兔；野兔,/ˈræbɪt/,The rabbit likes to eat carrots.,兔子喜欢吃胡萝卜。
race,赛跑,,Tom won the 100-meter race at school.,汤姆在学校的一百米赛跑中获胜了。
rain,雨；下雨,/rein/,The rain started at noon and lasted all day.,雨在中午开始下，持续了一整天。
rainbow,彩虹,/'reinbəu/,"After the rain, a beautiful rainbow appeared in the sky.",雨后，天空中出现了一道美丽的彩虹。
rainy,多雨的,/'reɪni/,I like to stay at home on rainy days.,下雨天我喜欢待在家里。
read,读；阅读,/ri:d/,I like to read a book before going to sleep.,我喜欢在睡觉前读一本书。
read a book,看书,/ri:dbuk/,My father likes to read a book after work.,我爸爸喜欢在下班后看书。
read a magazine,阅读杂志,/ri:d,She likes to read a magazine on the train.,她喜欢在火车上看杂志。,
read books,读书,/ri:d bu:ks/,He goes to the library every week to read books.,他每周去图书馆读书。
reading,a book 正在看书,,Reading can improve your vocabulary and imagination.,阅读可以提高你的词汇量和想象力。
reading a book,（正在）看书,,The boy is reading a book under the tree.,那个男孩正在树底下看书。
reads,读；看（第三人称单数）,/riːdz/,My mother reads a newspaper every morning.,我妈妈每天早上看报纸。
ready,准备好了,/'redi/,"Dinner is ready, please wash your hands.",晚饭准备好了，请洗手。
read—read,读,/ri:d/,Yesterday I read a very interesting story.,昨天我读了一个非常有趣的故事。
really,真正的；确实,/'riəli/,Do you really want to quit your job?,你真的想辞职吗？
red,红色的,/red/,She wore a beautiful red dress to the party.,她穿了一件漂亮的红色连衣裙去参加派对。
relax,放松,/ri'læks/,I like to listen to music to relax after a long day.,漫长的一天过后，我喜欢听音乐放松一下。
remember,记住,/ri'membə/,Do you remember where you put your keys?,你记得你把钥匙放在哪里了吗？
reporter,记者,/rɪˈpɔːtə/,The reporter asked the president several questions during the press conference.,记者在记者招待会上问了总统几个问题。
restaurant,餐馆,/ˈrestrɒnt/,We had dinner at a nice Italian restaurant.,我们在一家不错的意大利餐厅吃了晚餐。
return,送回；归还,/ri'tə:n/,I need to return this book to the library.,我需要把这本书还给图书馆。
rice,米饭,/raɪs/,We eat rice almost every day.,我们几乎每天都吃米饭。
ride a bike,骑自行车,/raidbaik/,My brother is learning to ride a bike.,我哥哥正在学骑自行车。
ride—rode,骑,/raɪd/,Yesterday we rode our bikes to the park.,昨天我们骑自行车去了公园。
riding a bike,骑自行车,/'raidiŋ/,Riding a bike is good exercise.,骑自行车是很好的锻炼。
right,右边的;正确的,准确的,Turn right at the next corner.,在下一个拐角向右转。,
river,河；江,/'rɪvə/,There is a bridge over the river.,河上有一座桥。
road,公路、大道,/rəud/,Be careful when you cross the road.,过马路时要小心。
robot,机器人,/'rəʊbɒt/,The robot can clean the floor by itself.,这个机器人可以自己清洁地板。
rode,(ride的过去式)骑(马，自行车),,She rode her horse along the beach.,她骑着马沿着海滩走。
roll,滚动,,The ball began to roll down the hill.,球开始滚下山坡。
room,房间,/ru:m/,My room is small but very clean.,我的房间很小但很干净。
row,（过去式rowed）划（船）,/rau/,They rowed the boat across the lake.,他们把船划过了湖。
RSVP,请赐复,,Please RSVP to the party invitation.,请回复派对邀请。
ruler,尺子,/'ruːlə/,I used a ruler to draw a straight line.,我用尺子画了一条直线。
run,跑、奔跑,/rʌn/,She can run faster than anyone in her class.,她能跑得比班上任何人都快。
sad,难过的,/sæd/,He felt sad when his friend moved away.,他的朋友搬走后，他感到很难过。
salad,蔬菜色拉；混合色拉,/ˈsæləd/,I made a salad with tomatoes and lettuce.,我用番茄和生菜做了一份沙拉。
sale,大减价,/seɪl/,The store is having a big sale this weekend.,这家商店这个周末有大减价。
salesperson,售货员,/'seilz,The salesperson helped me find the right size.,售货员帮我找到了合适的尺码。,
salty,a. 咸的,/'sɔ:lti/,The soup is too salty for me.,这汤对我来说太咸了。
same,相同的,/seim/,We go to the same school.,我们去同一所学校上学。
sandals,凉鞋,/'sandl/,I wear sandals when it is hot.,天气热的时候我穿凉鞋。
sandwich,三明治,/'sændwɪtʃ/,I had a ham sandwich for lunch.,我午餐吃了一个火腿三明治。
Saturday,星期六,/'sætədi/,We often go swimming on Saturday.,我们经常星期六去游泳。
saw,看见,,I saw a beautiful bird in the garden.,我在花园里看见了一只漂亮的鸟。
say,说；讲,/sei/,What did you say to the teacher?,你对老师说了什么？
scarf,围巾,/skɑːf/,She wore a red scarf to keep warm.,她戴了一条红围巾来保暖。
schedule,工作计划；日程安排,/'ʃedjuːl/,Check the bus schedule before you go.,出发前先查一下公交时刻表。
school,学校,/skuːl/,I walk to school every day.,我每天步行去学校。
schoolbag,书包,/'skuːlˌbæg/,My schoolbag is too heavy today.,我的书包今天太重了。
science,科学,/ˈsaɪəns/,We learned about plants in science class.,我们在科学课上学习了关于植物的知识。
scientist,科学家,/ˈsaɪəntɪst/,The scientist discovered a new kind of star.,这位科学家发现了一种新的恒星。
Scotland,苏格兰,/ˈskɒtlənd/,Scotland is part of the United Kingdom.,苏格兰是联合王国的一部分。
sea,大海,/siː/,We went swimming in the sea on our holiday.,我们度假时去海里游泳了。
seal,海豹,/si:l/,The seal swam gracefully in the water.,那只海豹在水里优雅地游着。
season,季节,/'si:zn 'si:zən/,Autumn is my favorite season of the year.,秋天是一年中我最喜欢的季节。
seat,座位,/si:t/,Please take a seat and wait for your turn.,请找个座位坐下，等着轮到您。
second,第二,/'sekənd/,She finished second in the race.,她在比赛中获得了第二名。
second (2nd),第二的,,February is the second month of the year.,二月是一年中的第二个月。
second floor,二楼,,The bookstore is on the second floor of the mall.,书店在商场的二楼。
secretary,秘书,/ˈsekrətri/,The secretary typed a letter for the boss.,秘书为老板打了一封信。
see,(过去式saw[sɔ:])看见,/si:/,I can see a bird in the tree.,我能看见树上有一只鸟。
see a doctor,看病,/siː ə ˈdɒktə/,You should see a doctor if your leg still hurts.,如果你的腿还疼，应该去看医生。
